Title,Reference number,Published,Last updated
Elacestrant for treating oestrogen receptor-positive HER2-negative advanced breast cancer with an ESR1 mutation after endocrine treatment,TA1036,05-Feb-25,05-Feb-25
Intravascular lithotripsy to treat calcified coronary arteries during percutaneous coronary intervention,IPG802,05-Feb-25,05-Feb-25
Digital technologies to support self-management of COPD: early value assessment,HTE19,19-Dec-24,04-Feb-25
"Tobacco: preventing uptake, promoting quitting and treating dependence",NG209,30-Nov-21,04-Feb-25
"Epilepsies in children, young people and adults",NG217,27-Apr-22,30-Jan-25
"Gambling-related harms: identification, assessment and management",NG248,28-Jan-25,28-Jan-25
Vadadustat for treating symptomatic anaemia in adults having dialysis for chronic kidney disease,TA1035,23-Jan-25,23-Jan-25
Niraparib with abiraterone acetate and prednisone for untreated hormone-relapsed metastatic prostate cancer (terminated appraisal),TA1032,22-Jan-25,22-Jan-25
Anhydrous sodium thiosulfate for preventing hearing loss caused by cisplatin chemotherapy in people 1 month to 17 years with localised solid tumours,TA1034,22-Jan-25,22-Jan-25
Vamorolone for treating Duchenne muscular dystrophy in people 4 years and over,TA1031,16-Jan-25,16-Jan-25
Bimekizumab for treating moderate to severe hidradenitis suppurativa (terminated appraisal),TA1028,15-Jan-25,15-Jan-25
Andexanet alfa for reversing anticoagulation in people with intracranial haemorrhage (terminated appraisal),TA1029,15-Jan-25,15-Jan-25
Durvalumab with chemotherapy before surgery (neoadjuvant) then alone after surgery (adjuvant) for treating resectable non-small-cell lung cancer,TA1030,15-Jan-25,15-Jan-25
"Maternal and child nutrition: nutrition and weight management in pregnancy, and nutrition in children up to 5 years",NG247,15-Jan-25,15-Jan-25
Andexanet alfa for reversing anticoagulation from apixaban or rivaroxaban,TA697,12-May-21,15-Jan-25
Artificial intelligence technologies to help detect fractures on X-rays in urgent care: early value assessment,HTE20,14-Jan-25,14-Jan-25
Digitally enabled therapies for adults with depression: early value assessment,HTE8,16-May-23,14-Jan-25
Overweight and obesity management,NG246,14-Jan-25,14-Jan-25
Electrically stimulated intravesical therapy for interstitial cystitis or overactive bladder in adults,IPG799,09-Jan-25,09-Jan-25
Tebentafusp for treating advanced uveal melanoma,TA1027,09-Jan-25,09-Jan-25
Transperineal laser ablation for treating lower urinary tract symptoms of benign prostatic hyperplasia,IPG798,08-Jan-25,08-Jan-25
Tirzepatide for managing overweight and obesity,TA1026,23-Dec-24,23-Dec-24
Home-testing devices for diagnosing obstructive sleep apnoea hypopnoea syndrome,DG62,19-Dec-24,19-Dec-24
MRI-guided focused ultrasound thalamotomy for treating moderate to severe tremor in Parkinson's,IPG796,18-Dec-24,18-Dec-24
MRI-guided focused ultrasound subthalamotomy for treating Parkinson's,IPG797,18-Dec-24,18-Dec-24
Ublituximab for treating relapsing multiple sclerosis,TA1025,18-Dec-24,18-Dec-24
Direct skeletal fixation of limb prostheses using an intraosseous transcutaneous implant,IPG795,17-Dec-24,17-Dec-24
Urinary tract infection (recurrent): antimicrobial prescribing,NG112,31-Oct-18,12-Dec-24
Elranatamab for treating relapsed and refractory multiple myeloma after 3 or more treatments,TA1023,11-Dec-24,11-Dec-24
Toripalimab with chemotherapy for untreated advanced oesophageal squamous cell cancer (terminated appraisal),TA1024,11-Dec-24,11-Dec-24
Crizotinib for treating ROS1-positive advanced non-small-cell lung cancer,TA1021,04-Dec-24,04-Dec-24
Bevacizumab gamma for treating wet age-related macular degeneration,TA1022,04-Dec-24,04-Dec-24
Meningitis (bacterial) and meningococcal disease,QS19,27-Jun-12,04-Dec-24
"Asthma: diagnosis, monitoring and chronic asthma management (BTS, NICE, SIGN)",NG245,27-Nov-24,27-Nov-24
Eplontersen for treating hereditary transthyretin-related amyloidosis,TA1020,27-Nov-24,27-Nov-24
"Asthma pathway (BTS, NICE, SIGN)",NG244,27-Nov-24,27-Nov-24
Pembrolizumab with chemotherapy before surgery (neoadjuvant) then alone after surgery (adjuvant) for treating resectable non-small-cell lung cancer,TA1017,20-Nov-24,20-Nov-24
Fedratinib for treating disease-related splenomegaly or symptoms in myelofibrosis,TA1018,20-Nov-24,20-Nov-24
Crovalimab for treating paroxysmal nocturnal haemoglobinuria in people 12 years and over,TA1019,20-Nov-24,20-Nov-24
Endoscopic bipolar radiofrequency ablation for malignant biliary obstruction,IPG794,14-Nov-24,14-Nov-24
Elafibranor for previously treated primary biliary cholangitis,TA1016,14-Nov-24,14-Nov-24
Alectinib for adjuvant treatment of ALK-positive non-small-cell lung cancer,TA1014,13-Nov-24,13-Nov-24
Teclistamab for treating relapsed and refractory multiple myeloma after 3 or more treatments,TA1015,13-Nov-24,13-Nov-24
Endometriosis: diagnosis and management,NG73,06-Sep-17,11-Nov-24
Menopause: identification and management,NG23,12-Nov-15,07-Nov-24
Avapritinib for treating advanced systemic mastocytosis,TA1012,06-Nov-24,06-Nov-24
Heart failure algorithms for remote monitoring in people with cardiac implantable electronic devices,DG61,24-Oct-24,24-Oct-24
Danicopan with ravulizumab or eculizumab for treating paroxysmal nocturnal haemoglobinuria,TA1010,23-Oct-24,23-Oct-24
"Quizartinib for induction, consolidation and maintenance treatment of newly diagnosed FLT3-ITD-positive acute myeloid leukaemia",TA1013,23-Oct-24,23-Oct-24
Digital technologies for assessing attention deficit hyperactivity disorder (ADHD),DG60,21-Oct-24,21-Oct-24
Belzutifan for treating tumours associated with von Hippel-Lindau disease,TA1011,16-Oct-24,16-Oct-24
"Acute kidney injury: prevention, detection and management",NG148,18-Dec-19,16-Oct-24
Latanoprost–netarsudil for previously treated primary open-angle glaucoma or ocular hypertension,TA1009,02-Oct-24,02-Oct-24
Trifluridine–tipiracil with bevacizumab for treating metastatic colorectal cancer after 2 systemic treatments,TA1008,25-Sep-24,25-Sep-24
Burosumab for treating X-linked hypophosphataemia in children and young people,HST8,10-Oct-18,20-Sep-24
"Rucaparib for maintenance treatment of relapsed platinum-sensitive ovarian, fallopian tube or peritoneal cancer",TA1007,17-Sep-24,17-Sep-24
Empagliflozin for treating type 2 diabetes in people 10 to 17 years (terminated appraisal),TA1006,12-Sep-24,12-Sep-24
Evinacumab for treating homozygous familial hypercholesterolaemia in people 12 years and over,TA1002,11-Sep-24,11-Sep-24
Exagamglogene autotemcel for treating transfusion-dependent beta-thalassaemia in people 12 years and over,TA1003,11-Sep-24,11-Sep-24
Faricimab for treating visual impairment caused by macular oedema after retinal vein occlusion,TA1004,11-Sep-24,11-Sep-24
Futibatinib for previously treated advanced cholangiocarcinoma with FGFR2 fusion or rearrangement,TA1005,11-Sep-24,11-Sep-24
Iptacopan for treating paroxysmal nocturnal haemoglobinuria,TA1000,04-Sep-24,04-Sep-24
Zanubrutinib for treating marginal zone lymphoma after anti-CD20-based treatment,TA1001,04-Sep-24,04-Sep-24
Vibegron for treating symptoms of overactive bladder syndrome,TA999,04-Sep-24,04-Sep-24
Single-step scaffold insertion for repairing symptomatic chondral knee defects,IPG793,03-Sep-24,03-Sep-24
Pembrolizumab with platinum- and fluoropyrimidine-based chemotherapy for untreated advanced HER2-negative gastric or gastro-oesophageal junction adenocarcinoma,TA997,29-Aug-24,29-Aug-24
Pembrolizumab with platinum- and fluoropyrimidine-based chemotherapy for untreated advanced oesophageal and gastro-oesophageal junction cancer,TA737,20-Oct-21,29-Aug-24
Adrenal insufficiency: identification and management,NG243,28-Aug-24,28-Aug-24
Risankizumab for treating moderately to severely active ulcerative colitis,TA998,22-Aug-24,22-Aug-24
Phrenic nerve pacing for congenital central hypoventilation syndrome,IPG790,21-Aug-24,21-Aug-24
Caval valve implantation for tricuspid regurgitation,IPG791,21-Aug-24,21-Aug-24
Phrenic nerve pacing for ventilator-dependent high cervical spinal cord injury,IPG792,21-Aug-24,21-Aug-24
Relugolix for treating hormone-sensitive prostate cancer,TA995,14-Aug-24,14-Aug-24
Linzagolix for treating moderate to severe symptoms of uterine fibroids,TA996,14-Aug-24,14-Aug-24
Diabetic retinopathy: management and monitoring,NG242,13-Aug-24,13-Aug-24
Enzalutamide for treating non-metastatic prostate cancer after radical prostatectomy or radiotherapy (terminated appraisal),TA994,08-Aug-24,08-Aug-24
Abaloparatide for treating osteoporosis after menopause,TA991,07-Aug-24,07-Aug-24
Burosumab for treating X-linked hypophosphataemia in adults,TA993,07-Aug-24,07-Aug-24
CYP2C19 genotype testing to guide clopidogrel use after ischaemic stroke or transient ischaemic attack,DG59,31-Jul-24,31-Jul-24
Anaphylaxis,QS119,24-Mar-16,31-Jul-24
Trastuzumab deruxtecan for treating HER2-low metastatic or unresectable breast cancer after chemotherapy,TA992,29-Jul-24,29-Jul-24
"Ivacaftor–tezacaftor–elexacaftor, tezacaftor–ivacaftor and lumacaftor–ivacaftor for treating cystic fibrosis",TA988,24-Jul-24,24-Jul-24
Etranacogene dezaparvovec for treating moderately severe or severe haemophilia B,TA989,24-Jul-24,24-Jul-24
Tenecteplase for treating acute ischaemic stroke,TA990,24-Jul-24,24-Jul-24
Lebrikizumab for treating moderate to severe atopic dermatitis in people 12 years and over,TA986,10-Jul-24,10-Jul-24
Lisocabtagene maraleucel for treating relapsed or refractory aggressive B-cell non-Hodgkin lymphoma (terminated appraisal),TA987,10-Jul-24,10-Jul-24
Selective internal radiation therapy with QuiremSpheres for treating unresectable advanced hepatocellular carcinoma,TA985,03-Jul-24,03-Jul-24
Selective internal radiation therapies for treating hepatocellular carcinoma,TA688,31-Mar-21,03-Jul-24
Minimally invasive percutaneous surgical techniques with internal fixation for correcting hallux valgus,IPG789,20-Jun-24,20-Jun-24
Tafamidis for treating transthyretin amyloidosis with cardiomyopathy,TA984,19-Jun-24,19-Jun-24
Baricitinib for treating juvenile idiopathic arthritis in people 2 years and over (terminated appraisal),TA982,13-Jun-24,13-Jun-24
Pembrolizumab with trastuzumab and chemotherapy for untreated locally advanced unresectable or metastatic HER2-positive gastric or gastro-oesophageal junction adenocarcinoma,TA983,12-Jun-24,12-Jun-24
Ivosidenib with azacitidine for untreated acute myeloid leukaemia with an IDH1 R132 mutation,TA979,05-Jun-24,05-Jun-24
Nivolumab for adjuvant treatment of completely resected melanoma at high risk of recurrence in people 12 years and over (terminated appraisal),TA980,05-Jun-24,05-Jun-24
Trastuzumab deruxtecan for treating HER2-mutated advanced non-small-cell lung cancer after platinum-based chemotherapy (terminated appraisal),TA976,29-May-24,29-May-24
Dabrafenib with trametinib for treating BRAF V600E mutation-positive glioma in children and young people aged 1 year and over,TA977,29-May-24,29-May-24
Zanubrutinib with obinutuzumab for treating relapsed or refractory B-cell follicular lymphoma after 2 or more treatments (terminated appraisal),TA978,29-May-24,29-May-24
Sirolimus for treating facial angiofibroma caused by tuberous sclerosis complex in people 6 years and over (terminated appraisal),TA972,22-May-24,22-May-24
Setmelanotide for treating obesity and hyperphagia in Bardet-Biedl syndrome,HST31,22-May-24,22-May-24
Natalizumab for the treatment of adults with highly active relapsing–remitting multiple sclerosis,TA127,22-Aug-07,21-May-24
Alemtuzumab for treating highly active relapsing–remitting multiple sclerosis,TA312,28-May-14,21-May-24
Cladribine for treating relapsing–remitting multiple sclerosis,TA616,19-Dec-19,21-May-24
Ranibizumab and pegaptanib for the treatment of age-related macular degeneration,TA155,27-Aug-08,20-May-24
Ranibizumab for treating choroidal neovascularisation associated with pathological myopia,TA298,27-Nov-13,20-May-24
Ranibizumab for treating visual impairment caused by macular oedema secondary to retinal vein occlusion,TA283,22-May-13,20-May-24
Selective internal radiation therapy for neuroendocrine tumours that have metastasised to the liver,IPG786,16-May-24,16-May-24
Endoscopic duodenal mucosal resurfacing for insulin resistance in type 2 diabetes,IPG787,16-May-24,16-May-24
Image-guided percutaneous laser ablation for primary and secondary liver tumours,IPG788,16-May-24,16-May-24
Atogepant for preventing migraine,TA973,15-May-24,15-May-24
Selinexor with bortezomib and dexamethasone for previously treated multiple myeloma,TA974,15-May-24,15-May-24
Tisagenlecleucel for treating relapsed or refractory B-cell acute lymphoblastic leukaemia in people 25?years and under,TA975,15-May-24,15-May-24
Tumour profiling tests to guide adjuvant chemotherapy decisions in early breast cancer,DG58,09-May-24,09-May-24
Selinexor with dexamethasone for treating relapsed or refractory multiple myeloma after 4 or more treatments,TA970,08-May-24,08-May-24
Remdesivir and tixagevimab plus cilgavimab for treating COVID-19,TA971,08-May-24,08-May-24
COVID-19 rapid guideline: managing COVID-19,NG191,23-Mar-21,08-May-24
Artificial intelligence (AI)-derived software to help clinical decision making in stroke,DG57,23-Jan-24,02-May-24
Pembrolizumab for treating relapsed or refractory classical Hodgkin lymphoma in people 3 years and over,TA967,01-May-24,01-May-24
Pembrolizumab for treating relapsed or refractory classical Hodgkin lymphoma,TA540,03-Sep-18,01-May-24
Digital technologies to deliver pulmonary rehabilitation programmes for adults with COPD: early value assessment,HTE18,30-Apr-24,30-Apr-24
Gefapixant for treating refractory or unexplained chronic cough (terminated appraisal),TA969,30-Apr-24,30-Apr-24
Melphalan flufenamide with dexamethasone for treating relapsed or refractory multiple myeloma (terminated appraisal),TA968,25-Apr-24,25-Apr-24
Pembrolizumab with gemcitabine and cisplatin for untreated advanced biliary tract cancer (terminated appraisal),TA966,24-Apr-24,24-Apr-24
Lymphovenous anastomosis during axillary or inguinal node dissection for preventing secondary lymphoedema,IPG785,16-Apr-24,16-Apr-24
Cabozantinib with nivolumab for untreated advanced renal cell carcinoma,TA964,10-Apr-24,10-Apr-24
Twin and triplet pregnancy,NG137,04-Sep-19,09-Apr-24
Dostarlimab with platinum-based chemotherapy for treating advanced or recurrent endometrial cancer with high microsatellite instability or mismatch repair deficiency,TA963,03-Apr-24,03-Apr-24
Kurin Lock for blood culture collection,MTG77,03-Apr-24,03-Apr-24
GaitSmart rehabilitation exercise programme for gait and mobility issues,MTG78,03-Apr-24,03-Apr-24
Epidermal radiotherapy using rhenium-188 paste for non-melanoma skin cancer,IPG784,02-Apr-24,02-Apr-24
Sebelipase alfa for treating lysosomal acid lipase deficiency that is not Wolman disease (terminated appraisal),TA961,28-Mar-24,28-Mar-24
"Olaparib for maintenance treatment of BRCA mutation-positive advanced ovarian, fallopian tube or peritoneal cancer after response to first-line platinum-based chemotherapy",TA962,28-Mar-24,28-Mar-24
Human alpha1-proteinase inhibitor for treating emphysema (terminated appraisal),TA965,28-Mar-24,28-Mar-24
Ritlecitinib for treating severe alopecia areata in people 12 years and over,TA958,27-Mar-24,27-Mar-24
Daratumumab in combination for treating newly diagnosed systemic amyloid light-chain amyloidosis,TA959,27-Mar-24,27-Mar-24
Satralizumab for preventing relapses in neuromyelitis optica spectrum disorders (terminated appraisal),TA960,27-Mar-24,27-Mar-24
Desflurane for maintenance of anaesthesia,ES41,26-Mar-24,26-Mar-24
Digital health technologies to help manage symptoms of psychosis and prevent relapse in adults and young people: early value assessment,HTE17,25-Mar-24,25-Mar-24
Ovarian cancer: identifying and managing familial and genetic risk,NG241,21-Mar-24,21-Mar-24
Momelotinib for treating myelofibrosis-related splenomegaly or symptoms,TA957,20-Mar-24,20-Mar-24
"Suspected sepsis: recognition, diagnosis and early management",NG51,13-Jul-16,19-Mar-24
Neonatal infection: antibiotics for prevention and treatment,NG195,20-Apr-21,19-Mar-24
"Meningitis (bacterial) and meningococcal disease: recognition, diagnosis and management",NG240,19-Mar-24,19-Mar-24
"ProKnow cloud-based system for radiotherapy data storage, communication and management: early value assessment",HTE5,28-Mar-23,14-Mar-24
"Nirmatrelvir plus ritonavir, sotrovimab and tocilizumab for treating COVID-19",TA878,29-Mar-23,13-Mar-24
Fluocinolone acetonide intravitreal implant for treating chronic diabetic macular oedema,TA953,13-Mar-24,13-Mar-24
Dupilumab for treating moderate to severe prurigo nodularis,TA955,13-Mar-24,13-Mar-24
Etrasimod for treating moderately to severely active ulcerative colitis in people aged 16 and over,TA956,11-Mar-24,11-Mar-24
Lung cancer: diagnosis and management,NG122,28-Mar-19,08-Mar-24
Vitamin B12 deficiency in over 16s: diagnosis and management,NG239,06-Mar-24,06-Mar-24
Epcoritamab for treating relapsed or refractory diffuse large B-cell lymphoma after 2 or more systemic treatments,TA954,06-Mar-24,06-Mar-24
Digital technologies for delivering multidisciplinary weight-management services: early value assessment,HTE14,26-Oct-23,06-Mar-24
Digital technologies for managing non-specific low back pain: early value assessment,HTE16,05-Mar-24,05-Mar-24
Endoscopic sleeve gastroplasty for obesity,IPG783,22-Feb-24,22-Feb-24
Talazoparib for treating HER2-negative advanced breast cancer with germline BRCA mutations,TA952,21-Feb-24,21-Feb-24
Tuberculosis,NG33,13-Jan-16,16-Feb-24
Belumosudil for treating chronic graft-versus-host disease after 2 or more systemic treatments in people 12 years and over,TA949,07-Feb-24,07-Feb-24
Nivolumab–relatlimab for untreated unresectable or metastatic melanoma in people 12 years and over,TA950,07-Feb-24,07-Feb-24
Olaparib with abiraterone for untreated hormone-relapsed metastatic prostate cancer,TA951,07-Feb-24,07-Feb-24
Loncastuximab tesirine for treating relapsed or refractory diffuse large B-cell lymphoma and high-grade B-cell lymphoma after 2 or more systemic treatments,TA947,31-Jan-24,31-Jan-24
Ivosidenib for treating advanced cholangiocarcinoma with an IDH1 R132 mutation after 1 or more systemic treatments,TA948,31-Jan-24,31-Jan-24
Treosulfan with fludarabine before allogeneic stem cell transplant for people aged 1 month to 17 years with non-malignant diseases (terminated appraisal),TA945,30-Jan-24,30-Jan-24
Caesarean birth,NG192,31-Mar-21,30-Jan-24
Devices for remote monitoring of Parkinson's disease,DG51,25-Jan-23,25-Jan-24
COVID-19 rapid guideline: managing the long-term effects of COVID-19,NG188,18-Dec-20,25-Jan-24
Skin cancer,QS130,21-Sep-16,24-Jan-24
Pharyngeal electrical stimulation for neurogenic dysphagia,IPG781,23-Jan-24,23-Jan-24
Temperature control to improve neurological outcomes after cardiac arrest,IPG782,23-Jan-24,23-Jan-24
Neonatal infection,QS75,18-Dec-14,23-Jan-24
"Olaparib with bevacizumab for maintenance treatment of advanced high-grade epithelial ovarian, fallopian tube or primary peritoneal cancer",TA946,17-Jan-24,17-Jan-24
Durvalumab with gemcitabine and cisplatin for treating unresectable or advanced biliary tract cancer,TA944,10-Jan-24,10-Jan-24
Sebelipase alfa for treating Wolman disease,HST30,10-Jan-24,10-Jan-24
Intravascular lithotripsy for calcified arteries in peripheral arterial disease,IPG780,03-Jan-24,03-Jan-24
Bipolar disorder: assessment and management,CG185,24-Sep-14,21-Dec-23
Targeted-release budesonide for treating primary IgA nephropathy,TA937,20-Dec-23,20-Dec-23
Ravulizumab for treating generalised myasthenia gravis (terminated appraisal),TA940,20-Dec-23,20-Dec-23
Ravulizumab for treating AQP4 antibody-positive neuromyelitis optica spectrum disorder (terminated appraisal),TA941,20-Dec-23,20-Dec-23
Empagliflozin for treating chronic kidney disease,TA942,20-Dec-23,20-Dec-23
"Epilepsies in children, young people and adults",QS211,20-Dec-23,20-Dec-23
Hybrid closed loop systems for managing blood glucose levels in type 1 diabetes,TA943,19-Dec-23,19-Dec-23
Risdiplam for treating spinal muscular atrophy,TA755,16-Dec-21,15-Dec-23
Digitally enabled therapies for adults with anxiety disorders: early value assessment,HTE9,16-May-23,14-Dec-23
Middle meningeal artery embolisation for chronic subdural haematomas,IPG779,14-Dec-23,14-Dec-23
"Cardiovascular disease: risk assessment and reduction, including lipid modification",NG238,14-Dec-23,14-Dec-23
Transition from children's to adults' services,QS140,21-Dec-16,14-Dec-23
"Pembrolizumab plus chemotherapy with or without bevacizumab for persistent, recurrent or metastatic cervical cancer",TA939,13-Dec-23,13-Dec-23
Velmanase alfa for treating alpha-mannosidosis,HST29,13-Dec-23,13-Dec-23
Dupilumab for treating eosinophilic oesophagitis in people 12 years and over (terminated appraisal),TA938,07-Dec-23,07-Dec-23
Acne vulgaris: management,NG198,25-Jun-21,07-Dec-23
Secukinumab for treating moderate to severe hidradenitis suppurativa,TA935,06-Dec-23,06-Dec-23
Idecabtagene vicleucel for treating relapsed and refractory multiple myeloma after 3 or more treatments (terminated appraisal),TA936,30-Nov-23,30-Nov-23
Tisagenlecleucel for treating relapsed or refractory diffuse large B-cell lymphoma after 2 or more systemic therapies (terminated appraisal),TA933,29-Nov-23,29-Nov-23
Foslevodopa–foscarbidopa for treating advanced Parkinson's with motor symptoms,TA934,29-Nov-23,29-Nov-23
Percutaneous thrombectomy for intermediate-risk or high-risk pulmonary embolism,IPG778,29-Nov-23,29-Nov-23
Decitabine–cedazuridine for untreated acute myeloid leukaemia when intensive chemotherapy is unsuitable (terminated appraisal),TA932,23-Nov-23,23-Nov-23
Zanubrutinib for treating chronic lymphocytic leukaemia,TA931,22-Nov-23,22-Nov-23
Percutaneous transarterial carotid artery stent placement for asymptomatic extracranial carotid stenosis,IPG777,22-Nov-23,22-Nov-23
Transient loss of consciousness ('blackouts') in over 16s,CG109,25-Aug-10,21-Nov-23
Hypertension in adults: diagnosis and management,NG136,28-Aug-19,21-Nov-23
Suspected acute respiratory infection in over 16s: assessment at first presentation and initial management,NG237,31-Oct-23,16-Nov-23
Lutetium-177 vipivotide tetraxetan for treating PSMA-positive hormone-relapsed metastatic prostate cancer after 2 or more treatments,TA930,15-Nov-23,15-Nov-23
Virtual reality technologies for treating agoraphobia or agoraphobic avoidance: early value assessment,HTE15,15-Nov-23,15-Nov-23
Biodegradable subacromial spacer insertion for rotator cuff tears,IPG775,15-Nov-23,15-Nov-23
Extracorporeal carbon dioxide removal for acute respiratory failure,IPG776,15-Nov-23,15-Nov-23
"Familial breast cancer: classification, care and managing breast cancer and related risks in people with a family history of breast cancer",CG164,25-Jun-13,14-Nov-23
Empagliflozin for treating chronic heart failure with preserved or mildly reduced ejection fraction,TA929,01-Nov-23,01-Nov-23
Cabozantinib for previously treated advanced differentiated thyroid cancer unsuitable for or refractory to radioactive iodine,TA928,01-Nov-23,01-Nov-23
Jaundice in newborn babies under 28 days,CG98,19-May-10,31-Oct-23
Pneumonia in adults: diagnosis and management,CG191,03-Dec-14,31-Oct-23
Acute respiratory infection in over 16s: initial assessment and management including virtual wards (hospital at home),QS210,31-Oct-23,31-Oct-23
Ranibizumab for treating diabetic macular oedema,TA274,27-Feb-13,26-Oct-23
Daratumumab with lenalidomide and dexamethasone for untreated multiple myeloma when a stem cell transplant is unsuitable,TA917,25-Oct-23,25-Oct-23
Tirzepatide for treating type 2 diabetes,TA924,25-Oct-23,25-Oct-23
Baricitinib for treating severe alopecia areata,TA926,25-Oct-23,25-Oct-23
Vaginal transluminal endoscopic hysterectomy and adnexal surgery for benign gynaecological conditions,IPG774,25-Oct-23,25-Oct-23
Mirikizumab for treating moderately to severely active ulcerative colitis,TA925,25-Oct-23,25-Oct-23
Tabelecleucel for treating post-transplant lymphoproliferative disorder caused by the Epstein-Barr virus (terminated appraisal),TA923,19-Oct-23,19-Oct-23
Rimegepant for treating migraine,TA919,18-Oct-23,18-Oct-23
Tofacitinib for treating active ankylosing spondylitis,TA920,18-Oct-23,18-Oct-23
Ruxolitinib for treating polycythaemia vera,TA921,18-Oct-23,18-Oct-23
Daridorexant for treating long-term insomnia,TA922,18-Oct-23,18-Oct-23
Percutaneous deep venous arterialisation for chronic limb-threatening ischaemia,IPG773,18-Oct-23,18-Oct-23
Stroke rehabilitation in adults,NG236,18-Oct-23,18-Oct-23
Glofitamab for treating relapsed or refractory diffuse large B-cell lymphoma after 2 or more systemic treatments,TA927,17-Oct-23,17-Oct-23
Thyroid disease: assessment and management,NG145,20-Nov-19,12-Oct-23
Virtual ward platform technologies for acute respiratory infections: early value assessment,HTE13,12-Oct-23,12-Oct-23
Bimekizumab for treating axial spondyloarthritis,TA918,11-Oct-23,11-Oct-23
Pegunigalsidase alfa for treating Fabry disease,TA915,04-Oct-23,04-Oct-23
Bimekizumab for treating active psoriatic arthritis,TA916,04-Oct-23,04-Oct-23
Urinary incontinence in neurological disease: assessment and management,CG148,08-Aug-12,02-Oct-23
Ovarian cancer: recognition and initial management,CG122,27-Apr-11,02-Oct-23
Suspected cancer: recognition and referral,NG12,23-Jun-15,02-Oct-23
Suspected neurological conditions: recognition and referral,NG127,01-May-19,02-Oct-23
Hearing loss in adults: assessment and management,NG98,21-Jun-18,02-Oct-23
Intrapartum care,NG235,29-Sep-23,29-Sep-23
COVID-19 rapid guideline: haematopoietic stem cell transplantation,NG164,01-Apr-20,28-Sep-23
Artificial intelligence technologies to aid contouring for radiotherapy treatment planning: early value assessment,HTE11,27-Sep-23,27-Sep-23
KardiaMobile 6L for measuring cardiac QT interval in adults having antipsychotic medication: early value assessment,HTE10,26-Sep-23,26-Sep-23
"Removal, preservation and reimplantation of ovarian tissue for restoring fertility after gonadotoxic treatment",IPG772,21-Sep-23,21-Sep-23
"Pembrolizumab for previously treated endometrial, biliary, colorectal, gastric or small intestine cancer with high microsatellite instability or mismatch repair deficiency",TA914,20-Sep-23,20-Sep-23
Birch bark extract for treating epidermolysis bullosa,HST28,20-Sep-23,20-Sep-23
Chronic obstructive pulmonary disease in adults,QS10,28-Jul-11,19-Sep-23
